AreaGeograficaOperacao,,,,,,
areaGeograficaOperacaoID,area,,,,,
A1,Radial sul,,,,,
A2,Radial norte,,,,,
A3,Radial oeste,,,,,
A4,Diametral,,,,,
A5,Auxiliar norte I,,,,,
A6,Auxiliar norte II,,,,,
A7,Auxiliar norte III,,,,,
A8,Auxiliar oeste,,,,,
A9,Auxiliar centro,,,,,
,,,,,,
AreaOperacional,,,,,,
areaOperacionalID,codigo,descricao,corReferencia,,,
AA1,A,Santa Cruz,Roxo,,,
AA2,B,Campo Grande,Laranja,,,
AA3,C,Bangu,Marrom,,,
AA4,D,Barra da Tijuca,Ciano,,,
AA5,E,Jacarepaguá,Rosa,,,
AA6,F,Madureira,Verde,,,
AA7,G,Penha,Azul,,,
AA8,H,Ilhas,Vermelho,,,
AA9,I,Centro-sul,Cinza,,,
,,,,,,
GrupamentoBRS,,,,,,
grupamentoBRSID,descricao,,,,,
B1,1,,,,,
B2,2,,,,,
B3,3,,,,,
B4,4,,,,,
B5,5,,,,,
B6,6,,,,,
B7,7,,,,,
B8,8,,,,,
,,,,,,
Oficio,,,,,,
oficioID,numeroOficio,dataOficio,assunto,numeroProcesso,dataCadastro,linha
,,,,,,
,,,,,,
ParametroFuncional,,,,,,
parametroFuncionalID,parametro,,,,,
P1,Troncal principal,,,,,
P2,Troncal secundária,,,,,
P3,Alimentadora,,,,,
P4,Interbairro,,,,,
,,,,,,
Servico,,,,,,
servicoID,descricao,Prefixo,,,,
S1,Regular,,,,,
S2,Temporário,ST,,,,
S3,Rápido,SR,,,,
S4,Variante,SV,,,,
S5,Noturno,SN,,,,
S6,Parcial,SP,,,,
S7,Experimental,SE,,,,
,,,,,,
TipoSistema,,,,,,
tipoSistemaID,descricao,sentido,,,,
S1,Ida/Volta,0/1,,,,
S2,Circular,C,,,,
S3,Ida,0,,,,
S4,Volta,1,,,,
,,,,,,
TipoVeiculo,,,,,,
tipoVeiculoID,descricao,codigoVeiculo,,,,
V2,MINIONBUS URBAN C/AR C/ELEV,27,,,,
V4,MIDIONBUS URBAN C/AR C/ELEV,29,,,,
V6,MIDI URB C/AR C/ELEV S/COBR,49,,,,
V8,MIDI URB C/AR C/ELEV 2 CATR,53,,,,
V10,ONBUS BASIC URB C/AR C/ELEV,31,,,,
V12,ONIBUS BS URB C/AR C/E 2CAT,51,,,,
V13,ONIB PDRON URB P BAIXO C/AR,42,,,,
,,,,,,
ExclusaoLinha,,,,,,
exclusaoLinhaID,linha,servico,oficio,dataExclusao,linhaID,
,,,,,,
,,,,,,
Operador,,,,,,
operadorID,cnpj,nomeFantasia,razaoSocial,termo,dataCadastro,
O1,,GTU,Guaratiba Transportes Urbanos SPE SA,,,
O2,,TUSE,Transportes Urbanos Sepetiba SPE SA,,,
